Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,1e-07,63.024818420410156,63.10039138793945,2.5360146933636226e+27,5.463249206542969
10,0.0010000900000000001,61.58009338378906,61.52773666381836,5.262068777192269e+26,61.350754737854004
20,0.0020000800000000004,30.633689880371094,30.731916427612305,22217834364928.0,115.58635950088501
30,0.0030000700000000005,16.07292938232422,16.20635414123535,10922704.0,168.02741122245789
40,0.004000060000000001,11.43164348602295,11.321478843688965,82576.3671875,221.0774393081665
50,0.005000050000000001,8.48926067352295,8.679064750671387,5878.5458984375,275.71825218200684
60,0.006000040000000001,7.0748138427734375,7.103888034820557,1216.6884765625,327.0990319252014
70,0.007000030000000001,6.062172889709473,6.16057825088501,473.701904296875,377.7956511974335
80,0.008000020000000002,5.483436584472656,5.543499946594238,255.5709228515625,428.4436902999878
90,0.009000010000000001,5.205265522003174,5.118786811828613,167.13247680664062,478.9238736629486
100,tensor(0.0100),4.904247283935547,4.983245849609375,145.9473419189453,529.0232949256897
110,tensor(0.0092),4.652256488800049,4.674947738647461,107.22696685791016,581.0920655727386
120,tensor(0.0069),4.472640037536621,4.5083513259887695,90.77204132080078,632.0944454669952
130,tensor(0.0040),4.428529262542725,4.375071048736572,79.44548034667969,682.8960163593292
140,tensor(0.0015),4.365301609039307,4.401615619659424,81.58257293701172,733.6502101421356
150,tensor(9.6172e-05),4.407756805419922,4.356204509735107,77.9606704711914,784.3429055213928
160,tensor(0.0099),4.360751152038574,4.337253570556641,76.49715423583984,834.9424076080322
170,tensor(0.0094),4.275647163391113,4.180268287658691,65.38339233398438,885.3945410251617
180,tensor(0.0085),3.987356662750244,3.9986331462860107,54.52357482910156,935.8463101387024
190,tensor(0.0074),3.9803082942962646,3.9341213703155518,51.117218017578125,986.3715462684631
200,tensor(0.0060),3.8552987575531006,3.8799402713775635,48.421321868896484,1036.8946621418
210,tensor(0.0045),3.8329079151153564,3.686666488647461,39.91157913208008,1087.2991976737976
220,tensor(0.0031),3.687863826751709,3.6694905757904053,39.23191452026367,1137.7305002212524
230,tensor(0.0018),3.6541388034820557,3.6754238605499268,39.46538162231445,1187.9032580852509
240,tensor(0.0008),3.7186028957366943,3.67476224899292,39.43927764892578,1238.4454114437103
250,tensor(0.0002),3.711298704147339,3.662543773651123,38.960323333740234,1292.1656005382538
260,tensor(1.0000e-07),3.824084520339966,3.6180198192596436,37.26370620727539,1346.1969845294952
270,tensor(0.0099),3.716176748275757,3.567736864089966,35.43630599975586,1399.5026907920837
280,tensor(0.0098),3.6009466648101807,3.5212059020996094,33.8251953125,1453.6174919605255
290,tensor(0.0095),3.5842535495758057,3.5568737983703613,35.05344009399414,1506.2422037124634
300,tensor(0.0092),3.538085460662842,3.497359037399292,33.02811050415039,1559.7859971523285
310,tensor(0.0087),3.4049859046936035,3.440422296524048,31.200130462646484,1612.502052307129
320,tensor(0.0082),3.37277889251709,3.3140673637390137,27.49673843383789,1665.1574110984802
330,tensor(0.0076),3.3292741775512695,3.351188898086548,28.536640167236328,1717.8780722618103
340,tensor(0.0069),3.4458415508270264,3.261679172515869,26.09331512451172,1770.7187359333038
350,tensor(0.0062),3.1871237754821777,3.252204179763794,25.847248077392578,1823.4198632240295
360,tensor(0.0055),3.2214999198913574,3.158017635345459,23.523916244506836,1875.6889669895172
370,tensor(0.0048),3.198094367980957,3.1318538188934326,22.916423797607422,1928.6264231204987
380,tensor(0.0040),3.1592679023742676,3.190786838531494,24.307546615600586,1981.248378753662
390,tensor(0.0033),3.1117610931396484,3.147549629211426,23.27895164489746,2035.5144746303558
400,tensor(0.0026),3.2158539295196533,3.2070369720458984,24.705774307250977,2086.77570772171
410,tensor(0.0020),3.1305713653564453,3.1112465858459473,22.449010848999023,2137.5286390781403
420,tensor(0.0015),3.1820921897888184,3.094099521636963,22.067358016967773,2188.5654385089874
430,tensor(0.0010),3.0257134437561035,3.1372487545013428,23.040390014648438,2239.5646674633026
440,tensor(0.0006),3.1644911766052246,3.127142906188965,22.808719635009766,2290.85471367836
450,tensor(0.0003),3.0142135620117188,3.0112788677215576,20.31336212158203,2341.5555016994476
460,tensor(9.6172e-05),3.119683027267456,3.103311777114868,22.271587371826172,2394.421720266342
470,tensor(6.1227e-06),3.183622360229492,3.165067195892334,23.690336227416992,2448.291841983795
480,tensor(0.0100),3.164048194885254,3.1138410568237305,22.5073299407959,2502.013658761978
490,tensor(0.0100),3.0360755920410156,3.0889430046081543,21.953861236572266,2555.9539618492126
500,tensor(0.0099),3.0993406772613525,3.143810510635376,23.19207191467285,2609.17032289505
510,tensor(0.0098),3.0468544960021973,3.010361909866333,20.29474449157715,2662.9762184619904
520,tensor(0.0097),2.9228475093841553,3.1551578044891357,23.456737518310547,2717.005155801773
530,tensor(0.0096),3.034745693206787,3.1675937175750732,23.75026512145996,2768.0115308761597
540,tensor(0.0094),2.990449905395508,3.053558349609375,21.190614700317383,2818.8958444595337
550,tensor(0.0092),2.9901697635650635,2.965546131134033,19.405298233032227,2870.146404027939
560,tensor(0.0090),3.0924932956695557,2.870091676712036,17.638635635375977,2921.2003407478333
570,tensor(0.0088),2.913048505783081,2.991691827774048,19.919353485107422,2972.165274143219
580,tensor(0.0085),2.964235305786133,2.965590000152588,19.40614891052246,3022.8772945404053
590,tensor(0.0083),2.921145439147949,2.863581895828247,17.524185180664062,3074.207474708557
600,tensor(0.0080),2.922096014022827,2.9256584644317627,18.646499633789062,3125.5709545612335
610,tensor(0.0077),2.8540093898773193,2.9184136390686035,18.511898040771484,3177.139455795288
620,tensor(0.0074),2.931674003601074,2.8298208713531494,16.942426681518555,3228.5777525901794
630,tensor(0.0070),2.812197208404541,2.976029872894287,19.60980796813965,3280.324163913727
640,tensor(0.0067),2.8574368953704834,2.8773179054260254,17.766557693481445,3333.26025557518
650,tensor(0.0063),2.7373409271240234,2.837158679962158,17.067203521728516,3385.3906061649323
660,tensor(0.0060),2.8714165687561035,2.8197219371795654,16.772186279296875,3437.007575273514
670,tensor(0.0056),2.7616472244262695,2.8984735012054443,18.14642333984375,3488.647851228714
680,tensor(0.0052),2.841830015182495,2.776466131210327,16.062158584594727,3540.37331366539
690,tensor(0.0049),2.7616305351257324,2.7688488960266113,15.940274238586426,3592.2829246520996
700,tensor(0.0045),2.7901196479797363,2.735883951187134,15.423371315002441,3643.5460996627808
710,tensor(0.0041),2.8385024070739746,2.748455286026001,15.618487358093262,3694.5443518161774
720,tensor(0.0038),2.573256254196167,2.7395412921905518,15.479883193969727,3745.6972229480743
730,tensor(0.0034),2.6900148391723633,2.609010696411133,13.585603713989258,3797.0259697437286
740,tensor(0.0031),2.8004887104034424,2.620875120162964,13.747749328613281,3848.397344350815
750,tensor(0.0028),2.7623543739318848,2.747241973876953,15.59954833984375,3899.6983556747437
760,tensor(0.0024),2.7163729667663574,2.65614914894104,14.241342544555664,3951.364925146103
770,tensor(0.0021),2.711379051208496,2.707160234451294,14.986656188964844,4002.472275018692
780,tensor(0.0018),2.702252149581909,2.6465771198272705,14.105673789978027,4053.5525529384613
790,tensor(0.0016),2.6275036334991455,2.54569411277771,12.752076148986816,4104.343862771988
800,tensor(0.0013),2.715752601623535,2.5384533405303955,12.660075187683105,4155.106881380081
810,tensor(0.0011),2.653992176055908,2.6579184532165527,14.266561508178711,4205.900105476379
820,tensor(0.0008),2.702524185180664,2.644359827041626,14.074432373046875,4256.729910373688
830,tensor(0.0006),2.6434075832366943,2.6997299194335938,14.875713348388672,4307.792962551117
840,tensor(0.0005),2.682706832885742,2.620988368988037,13.749306678771973,4359.14045381546
850,tensor(0.0003),2.624922037124634,2.616468667984009,13.68730354309082,4409.530308485031
860,tensor(0.0002),2.668121814727783,2.7035765647888184,14.933045387268066,4460.650870323181
870,tensor(0.0001),2.6481621265411377,2.6230740547180176,13.778013229370117,4511.578644990921
880,tensor(5.4217e-05),2.639096260070801,2.6837856769561768,14.640412330627441,4562.349966049194
890,tensor(1.3648e-05),2.6403908729553223,2.6372885704040527,13.975259780883789,4612.888755559921
900,1e-07,2.6355788707733154,2.6181437969207764,13.710250854492188,4665.4887483119965
910,1e-07,2.628265857696533,2.545485734939575,12.749419212341309,4718.860604286194
920,1e-07,2.639633893966675,2.761525869369507,15.823969841003418,4772.131057024002
930,1e-07,2.7587316036224365,2.637902021408081,13.983835220336914,4825.577635765076
940,1e-07,2.592988967895508,2.5673346519470215,13.031045913696289,4879.5912091732025
